chars,words,commas,apostrophes,punctuations,avg_word_length,POS,POS/total_words,prompt_words,prompt_words/total_words,synonym_words,synonym_words/total_words,unstemmed,stemmed,score
1908.0,390.0,18.0,7.0,16.0,4.892307692307693,386.32469775474954,0.9905761480891013,155.0,0.3974358974358974,89.0,0.2282051282051282,446,437,8
2309.0,458.0,12.0,5.0,20.0,5.041484716157205,454.3216117216117,0.9919685845450037,157.0,0.34279475982532753,85.0,0.185589519650655,548,522,9
1560.0,308.0,9.0,6.0,14.0,5.064935064935065,306.9934640522876,0.996732026143791,151.0,0.4902597402597403,100.0,0.3246753246753247,391,369,7
3130.0,572.0,13.0,7.0,27.0,5.472027972027972,569.9929824561403,0.9964912280701754,181.0,0.31643356643356646,118.0,0.2062937062937063,678,646,10
2615.0,518.0,13.0,7.0,30.0,5.0482625482625485,509.6343669250646,0.9838501291989664,214.0,0.41312741312741313,107.0,0.20656370656370657,587,561,8
1284.0,271.0,3.0,2.0,17.0,4.7380073800738005,266.9776119402985,0.9851572396320979,112.0,0.4132841328413284,59.0,0.2177121771217712,340,334,8
2871.0,575.0,35.0,10.0,30.0,4.993043478260869,573.3275159976731,0.9970913321698663,257.0,0.4469565217391304,124.0,0.21565217391304348,662,627,10
2776.0,562.0,11.0,16.0,39.0,4.93950177935943,557.6511904761904,0.9922619047619047,244.0,0.43416370106761565,146.0,0.2597864768683274,589,571,10
2458.0,508.0,16.0,13.0,35.0,4.838582677165355,500.3069306930693,0.9848561627816326,182.0,0.35826771653543305,104.0,0.2047244094488189,606,594,9
2676.0,561.0,14.0,14.0,26.0,4.770053475935829,555.6475849731664,0.990459153249851,218.0,0.38859180035650626,117.0,0.20855614973262032,647,625,9
1988.0,367.0,13.0,6.0,22.0,5.416893732970027,364.6538812785388,0.993607305936073,138.0,0.3760217983651226,77.0,0.2098092643051771,507,500,8
2204.0,430.0,0.0,10.0,25.0,5.125581395348838,423.9858823529412,0.9860136798905609,150.0,0.3488372093023256,80.0,0.18604651162790697,444,417,8
1017.0,214.0,0.0,2.0,6.0,4.752336448598131,208.30781499202553,0.9734010046356333,76.0,0.35514018691588783,53.0,0.24766355140186916,300,285,7
1649.0,335.0,0.0,2.0,25.0,4.922388059701492,330.3053053053053,0.985985985985986,140.0,0.417910447761194,79.0,0.23582089552238805,364,352,6
1015.0,200.0,7.0,2.0,13.0,5.075,196.97969543147207,0.9848984771573603,115.0,0.575,60.0,0.3,252,249,6
3213.0,598.0,23.0,9.0,35.0,5.372909698996655,593.658810325477,0.9927404854941088,275.0,0.459866220735786,148.0,0.24749163879598662,692,668,12
1854.0,386.0,18.0,14.0,18.0,4.803108808290156,380.97911227154043,0.9869925188381876,159.0,0.4119170984455959,99.0,0.25647668393782386,400,389,8
2006.0,419.0,26.0,9.0,15.0,4.787589498806683,413.9903381642512,0.9880437665017929,187.0,0.44630071599045346,109.0,0.26014319809069214,472,463,8
374.0,75.0,0.0,2.0,6.0,4.986666666666666,70.60093896713614,0.9413458528951486,23.0,0.30666666666666664,8.0,0.10666666666666667,110,112,4
881.0,181.0,3.0,4.0,12.0,4.867403314917127,177.98870056497174,0.9833629865468052,70.0,0.3867403314917127,44.0,0.2430939226519337,226,221,6
2081.0,407.0,14.0,2.0,20.0,5.113022113022113,399.6500415627598,0.9819411340608348,171.0,0.4201474201474201,81.0,0.19901719901719903,500,487,8
323.0,60.0,0.0,2.0,2.0,5.383333333333334,59.0,0.9833333333333333,29.0,0.48333333333333334,17.0,0.2833333333333333,86,84,3
2890.0,574.0,11.0,11.0,30.0,5.034843205574913,568.9859894921191,0.9912647900559566,225.0,0.39198606271777003,143.0,0.24912891986062718,660,640,10
3269.0,661.0,42.0,12.0,40.0,4.94553706505295,655.3191489361702,0.9914056716129656,293.0,0.443267776096823,163.0,0.24659606656580937,697,672,11
1696.0,324.0,10.0,3.0,16.0,5.234567901234568,320.98136645962734,0.9906832298136646,131.0,0.404320987654321,85.0,0.2623456790123457,355,339,8
2020.0,413.0,23.0,6.0,23.0,4.891041162227603,407.9901960784314,0.9878697241608508,164.0,0.39709443099273606,85.0,0.20581113801452786,451,440,9
659.0,137.0,6.0,2.0,7.0,4.810218978102189,134.98507462686567,0.9852925155245669,46.0,0.3357664233576642,24.0,0.17518248175182483,171,169,4
2097.0,409.0,16.0,4.0,29.0,5.127139364303178,406.990171990172,0.995085995085995,143.0,0.34963325183374083,73.0,0.1784841075794621,504,491,9
2101.0,430.0,22.0,4.0,23.0,4.886046511627907,426.9906323185012,0.9930014705081422,209.0,0.48604651162790696,99.0,0.2302325581395349,467,448,9
1449.0,287.0,6.0,7.0,15.0,5.048780487804878,284.9859649122807,0.9929824561403507,113.0,0.39372822299651566,72.0,0.2508710801393728,338,330,8
2639.0,551.0,30.0,15.0,34.0,4.7894736842105265,546.3235831809872,0.9915128551379078,189.0,0.3430127041742287,88.0,0.15970961887477314,618,602,10
2792.0,566.0,26.0,10.0,36.0,4.932862190812721,559.9893048128342,0.9893803971958202,235.0,0.41519434628975266,134.0,0.23674911660777384,630,613,10
932.0,189.0,7.0,2.0,12.0,4.931216931216931,186.32612612612613,0.9858525191858525,88.0,0.4656084656084656,51.0,0.2698412698412698,244,237,6
1923.0,415.0,15.0,10.0,26.0,4.633734939759036,409.65044606650446,0.9871095085939866,161.0,0.38795180722891565,91.0,0.21927710843373494,466,449,8
2340.0,478.0,22.0,4.0,33.0,4.895397489539749,475.3221288515406,0.9943977591036414,234.0,0.4895397489539749,146.0,0.3054393305439331,470,459,9
3027.0,611.0,35.0,9.0,24.0,4.954173486088379,608.6590038314176,0.9961685823754789,251.0,0.41080196399345337,117.0,0.19148936170212766,675,650,10
2702.0,555.0,25.0,4.0,31.0,4.8684684684684685,550.6545893719807,0.9921704313008661,212.0,0.38198198198198197,126.0,0.22702702702702704,650,627,12
1895.0,381.0,7.0,4.0,17.0,4.973753280839895,373.97872340425533,0.9815714525046072,160.0,0.4199475065616798,87.0,0.2283464566929134,448,424,8
2413.0,480.0,7.0,3.0,22.0,5.027083333333334,477.6569037656904,0.995118549511855,197.0,0.41041666666666665,128.0,0.26666666666666666,576,543,10
1042.0,215.0,3.0,5.0,16.0,4.846511627906977,213.31768388106417,0.9921752738654147,106.0,0.4930232558139535,69.0,0.3209302325581395,272,272,7
229.0,46.0,0.0,2.0,3.0,4.978260869565218,44.651162790697676,0.9706774519716886,29.0,0.6304347826086957,15.0,0.32608695652173914,64,64,2
1498.0,303.0,0.0,5.0,14.0,4.9438943894389435,299.31555555555553,0.9878401173450677,120.0,0.39603960396039606,71.0,0.23432343234323433,357,348,8
791.0,155.0,2.0,5.0,8.0,5.103225806451613,153.3115468409586,0.9891067538126362,67.0,0.432258064516129,32.0,0.2064516129032258,209,207,6
1654.0,349.0,5.0,3.0,28.0,4.739255014326647,347.32372718539864,0.9951969260326609,140.0,0.40114613180515757,110.0,0.3151862464183381,303,290,8
1732.0,363.0,14.0,6.0,20.0,4.771349862258953,359.9888888888889,0.9917049280685644,128.0,0.3526170798898072,76.0,0.209366391184573,411,402,8
1660.0,331.0,6.0,11.0,11.0,5.015105740181269,326.9756838905775,0.9878419452887538,138.0,0.4169184290030212,81.0,0.24471299093655588,292,285,8
