chars,words,commas,apostrophes,punctuations,avg_word_length,POS,POS/total_words,prompt_words,prompt_words/total_words,synonym_words,synonym_words/total_words,unstemmed,stemmed,score
272.0,56.0,0.0,2.0,3.0,4.857142857142857,54.96296296296296,0.9814814814814815,43.0,0.7678571428571429,18.0,0.32142857142857145,70,72,1
1013.0,203.0,7.0,5.0,12.0,4.990147783251231,200.98009950248758,0.9900497512437811,149.0,0.7339901477832512,84.0,0.41379310344827586,254,254,2
521.0,108.0,1.0,2.0,8.0,4.824074074074074,103.98058252427184,0.9627831715210355,71.0,0.6574074074074074,48.0,0.4444444444444444,156,153,1
441.0,95.0,1.0,2.0,4.0,4.6421052631578945,91.63736263736264,0.9646038172353962,58.0,0.6105263157894737,35.0,0.3684210526315789,140,138,1
702.0,143.0,2.0,2.0,4.0,4.909090909090909,138.9855072463768,0.9719266241005371,99.0,0.6923076923076923,52.0,0.36363636363636365,186,185,2
396.0,81.0,4.0,2.0,5.0,4.888888888888889,80.0,0.9876543209876543,52.0,0.6419753086419753,29.0,0.35802469135802467,110,109,1
219.0,49.0,0.0,2.0,4.0,4.469387755102041,47.65217391304348,0.9724933451641525,33.0,0.673469387755102,21.0,0.42857142857142855,69,70,1
544.0,123.0,1.0,2.0,8.0,4.4227642276422765,119.98319327731092,0.9754731160756985,71.0,0.5772357723577236,54.0,0.43902439024390244,152,151,0
533.0,105.0,3.0,2.0,7.0,5.076190476190476,102.98039215686273,0.9807656395891688,73.0,0.6952380952380952,47.0,0.44761904761904764,152,152,2
907.0,172.0,10.0,2.0,9.0,5.273255813953488,171.32549019607845,0.9960784313725491,106.0,0.6162790697674418,83.0,0.48255813953488375,219,216,3
972.0,194.0,5.0,2.0,12.0,5.010309278350515,190.65263157894736,0.9827455236028214,136.0,0.7010309278350515,69.0,0.3556701030927835,277,270,3
499.0,106.0,3.0,2.0,6.0,4.7075471698113205,104.64102564102565,0.9871794871794872,65.0,0.6132075471698113,40.0,0.37735849056603776,146,142,1
785.0,153.0,2.0,4.0,8.0,5.130718954248366,150.3111111111111,0.9824255628177196,106.0,0.6928104575163399,61.0,0.39869281045751637,203,200,3
482.0,94.0,3.0,2.0,5.0,5.127659574468085,92.65934065934066,0.9857376665887304,63.0,0.6702127659574468,36.0,0.3829787234042553,122,124,2
415.0,81.0,3.0,2.0,3.0,5.1234567901234565,76.31555555555555,0.9421673525377228,54.0,0.6666666666666666,37.0,0.4567901234567901,123,125,1
679.0,137.0,2.0,2.0,7.0,4.956204379562044,134.98507462686567,0.9852925155245669,96.0,0.7007299270072993,53.0,0.38686131386861317,188,187,2
608.0,118.0,5.0,2.0,5.0,5.1525423728813555,115.6608187134503,0.9801764297750025,67.0,0.5677966101694916,47.0,0.3983050847457627,177,170,2
604.0,120.0,3.0,3.0,9.0,5.033333333333333,117.62711864406779,0.980225988700565,73.0,0.6083333333333333,45.0,0.375,168,167,2
511.0,104.0,6.0,2.0,5.0,4.913461538461538,102.66006600660066,0.9871160192942371,77.0,0.7403846153846154,42.0,0.40384615384615385,137,132,1
528.0,107.0,6.0,4.0,7.0,4.934579439252336,104.32038834951456,0.9749569004627529,82.0,0.7663551401869159,43.0,0.40186915887850466,149,145,2
282.0,59.0,2.0,2.0,2.0,4.779661016949152,57.0,0.9661016949152542,42.0,0.711864406779661,28.0,0.4745762711864407,84,84,2
170.0,37.0,0.0,2.0,1.0,4.594594594594595,36.0,0.972972972972973,19.0,0.5135135135135135,16.0,0.43243243243243246,56,57,1
751.0,137.0,1.0,2.0,7.0,5.481751824817518,134.66165413533835,0.982931782009769,79.0,0.5766423357664233,50.0,0.36496350364963503,212,211,2
320.0,69.0,0.0,2.0,3.0,4.63768115942029,67.0,0.9710144927536232,44.0,0.6376811594202898,32.0,0.463768115942029,99,101,1
606.0,128.0,5.0,4.0,6.0,4.734375,126.64550264550265,0.9894179894179894,94.0,0.734375,55.0,0.4296875,179,178,2
1023.0,210.0,12.0,2.0,9.0,4.871428571428571,203.6437908496732,0.9697323373793961,134.0,0.638095238095238,89.0,0.4238095238095238,285,281,3
